"erovnuli qartia"  67, 70, 71
"vefxisa da moymis"  161
"lileo"  161
"Savlego"  162
"Seni Wirime sikvdilo"  162
"Cakrulo"  162
"xasanbegura"  161
„globalimperiuli zeZala“  19
„era“  106
„kolxuri oqro damwerloba“  234
„mzis disko“  173, 253
„mravalJamiero“  162
„saswauli“  160


abaSiZe a.  116, 117, 122, 238
abaSiZe zurab  498
abo tfileli  105
adamia v.  46, 484
akaki  192, 484
aldamovi x.  76
aleqsiZe  46, 499
alfeniZe l.  216
amaSukeli elguja  199
amirejibi  210
andria afaqiZe  215, 218, 222, 224, 505, 512
arZinba  38, 40, 100, 104, 467
asaTiani guram  192
aslaniSvili  15
asomTavruli  78
aspaguri  121
afsuebi  20, 58, 379, 458
afxazebi  100, 180, 221, 295, 297, 298, 369, 370, 372, 375, 376, 377, 378, 379, 383, 384, 387, 458, 459
aWarlebi  181, 194
baburini  47
baTiaSvili  196, 213
baiburTi  46
baideni  250
bakuraZe givi  190
bakuri varaz  121
basmaCa  202
baqraZe akaki  192, 357
baqraZe d.  356, 361
beJuaSvilebi  46
berdiaevi  113, 160
berezovski  47, 48, 489, 490
berZeniSvili  46, 249, 342, 351, 353, 368, 369, 371, 382, 385, 498
berZnebamde  160
beselia eka  244
biblia  35, 47, 48, 144
bindisferia sofeli  162
bodeni d.  7, 43, 44, 357, 358, 359, 377, 378, 379, 409, 441
bokeria g.  46, 242
braldeba  23, 41, 83, 147, 155, 158, 180, 242, 246, 253
brexti  107
burjanaZe  46, 240
buSi  33, 237, 251
buSi jorj  33, 237, 251
gabrieli  511
gagra  40, 59, 81, 82, 100, 139, 222
gali  81, 184, 489, 490
gamsaxurdia zv.  43, 107, 196, 237, 240, 424
gamyreliZe erekle  499
gamyreliZe Tamaz  218, 219, 220, 222, 499, 502
gegeSiZe Jora  189
genZexaZe e.  48
gilaSvili p.  187, 189
giorgaZe i.  193
giorgaZe p.  60
giorgi brwyinvale  127
gogiaSvili  46
gogoriSvili x.  46
gorbaCovi m.  36, 182, 399
gorgasali vaxtang  105, 174, 242
grigalaSvilebi  46
grigol xanZTeli  177
gudauTa  59, 116, 140
gumbariZe  214, 215, 240
gurgeniZe  15, 484
gurulni  181, 237, 354
dadiani cotne  14, 107, 127, 164, 367
daviT aRmaSenebeli mefe  174
daviT musxeliSvili  500
demetre Tavdadebuli  14, 164, 177
dvalebi  181, 396, 428
diaspora  12, 102, 143, 180, 292, 294, 295, 296, 299, 300, 327, 328, 329, 331, 333, 334, 396, 403, 404, 410, 417, 418, 429, 435, 436, 442, 449, 450, 460
dodaSvili solomon  177, 192
erekle II  32, 210, 244
erovnuli umciresoba  180, 418, 483
vaJa-fSavela  127, 174, 177, 192, 247
vaSaZe grigol  246
vaxtang VI  32
vorobiovi  145
voronovi  100
zemo qarTli  26
T
Tamar mefe  248
Targamosi  144, 175
TayaiSvili eqvTime  127
TevdoraZe elene  46, 83
Tevdore mRvdeli  14, 78, 89, 127, 158, 163, 164, 177
TevzaZe guram  496, 499
TofaZe gogi  244
Tofuria guram  505
TuTaSxia  151, 207, 210, 211
TuSebi  181
iakobi  192
iakovlevi  47
iaponeli  232
iaponia  79
iberi  205, 206
iberia  205, 206, 380
iveria  206
izraeli  52, 53, 54, 55
ilia  113, 192, 424
ilia II  193
imedaSvili  46, 48
